"genes.plot"	"id"	"pct.exp"	"pct.exp2"	"pct.exp100"	"avg.exp"	"avg.exp.scale"	"abs_avg_exp_scale"	"avg_logFC"	"avg_logFC2"	"p_val_adj"	"p_val_adj2"	"pval_symb"
"CD79B"	"CD4+ T cells"	0.105994787141616	0.11	11	0.500030413242832	-0.432670442284195	0.432670442284195	-1.39087054493054	-1.39	2.143339678998e-50	"2.1e-50"	"<1e-10"
"TCL1A"	"CD4+ T cells"	0.0225890529973936	0.02	2	0.114906502427569	-0.381157941117726	0.381157941117726	-1.27563090550382	NA	2.16027258094393e-28	NA	"<1e-10"
"HLA-DQB1"	"CD4+ T cells"	0.0634231103388358	0.06	6	0.330503077776468	-0.579911765481695	0.579911765481695	-1.45220262600532	NA	3.73618415993561e-77	NA	"<1e-50"
"CCL5"	"CD4+ T cells"	0.219808861859253	0.22	22	4.06676009276872	-0.571747574178359	0.571747574178359	-1.16563404558658	-1.17	8.11294080972221e-24	"8.1e-24"	"<1e-10"
"NKG7"	"CD4+ T cells"	0.134665508253692	0.13	13	0.897234265643357	-0.481430606701058	0.481430606701058	-2.54434295868734	-2.54	3.75040548590226e-66	"3.8e-66"	"<1e-50"
"GZMK"	"CD4+ T cells"	0.0634231103388358	0.06	6	0.626396571188812	-0.297852920192601	0.297852920192601	-0.784648672573865	NA	2.93220891459625e-09	NA	"<0.01"
"CST7"	"CD4+ T cells"	0.0790616854908775	0.08	8	0.482745458902948	-0.468519037466281	0.468519037466281	-1.40176719571692	NA	2.36811739351361e-41	NA	"<1e-10"
"GZMH"	"CD4+ T cells"	0.0182450043440487	0.02	2	0.0778875099666433	-0.539900835480505	0.539900835480505	-1.35738023525304	NA	1.06099270294253e-31	NA	"<1e-10"
"FCGR3A"	"CD4+ T cells"	0.0477845351867941	0.05	5	0.249421607093193	-0.581466071356352	0.581466071356352	-1.46053270035751	NA	4.98253476978196e-57	NA	"<1e-50"
"IFITM3"	"CD4+ T cells"	0.0573414422241529	0.06	6	0.257955958381885	-0.663794928023485	0.663794928023485	-1.5198689721351	NA	4.61479737924251e-75	NA	"<1e-50"
"LST1"	"CD4+ T cells"	0.159860990443093	0.16	16	0.865748163652373	-0.572094622325923	0.572094622325923	-2.02515159615017	-2.03	1.40125742829851e-97	"1.4e-97"	"<1e-50"
"FCER1G"	"CD4+ T cells"	0.0981754995655951	0.1	10	0.533674106369414	-0.825349035599359	0.825349035599359	-2.16844277422443	NA	6.06934096485432e-146	NA	"<1e-100"
"AIF1"	"CD4+ T cells"	0.227628149435274	0.23	23	1.52104612280568	-0.581832244536113	0.581832244536113	-1.72590209232088	-1.73	3.36797675276182e-67	"3.4e-67"	"<1e-50"
"GZMB"	"CD4+ T cells"	0.0295395308427454	0.03	3	0.131357892851819	-0.458720895035962	0.458720895035962	-1.88019839229939	NA	4.96380654288325e-34	NA	"<1e-10"
"FGFBP2"	"CD4+ T cells"	0.0260642919200695	0.03	3	0.106384709807624	-0.417644854204986	0.417644854204986	-1.42537060888813	NA	5.57893950132039e-31	NA	"<1e-10"
"PRF1"	"CD4+ T cells"	0.0634231103388358	0.06	6	0.303803941989282	-0.417680887594119	0.417680887594119	-1.3231659461312	NA	1.14264846769156e-29	NA	"<1e-10"
"GNLY"	"CD4+ T cells"	0.0981754995655951	0.1	10	0.486465633924083	-0.385389717562963	0.385389717562963	-2.30981469262319	NA	2.07988501778464e-21	NA	"<1e-10"
"FCER1A"	"CD4+ T cells"	0.0112945264986968	0.01	1	0.0713854264986574	-0.349375173132896	0.349375173132896	-0.260936036610174	NA	1	NA	">0.01"
"CLEC10A"	"CD4+ T cells"	0.00173761946133797	0	0	0.00822985990480518	-0.374659048383552	0.374659048383552	-0.202393971334315	NA	1.18055313315973e-06	NA	"<0.01"
"HLA-DQA1"	"CD4+ T cells"	0.0251954821894005	0.03	3	0.125210106161238	-0.607194092607122	0.607194092607122	-1.6818939354862	NA	6.0523002243874e-96	NA	"<1e-50"
"HLA-DPA1"	"CD4+ T cells"	0.204170286707211	0.2	20	1.14722439012295	-0.747314542312823	0.747314542312823	-2.08512637015313	-2.09	2.0702958792113e-187	"2.1e-187"	"<1e-100"
"HLA-DPB1"	"CD4+ T cells"	0.245873153779322	0.25	25	1.38798483805299	-0.689539438413249	0.689539438413249	-2.12103846215064	-2.12	4.08969312755912e-182	"4.1e-182"	"<1e-100"
"PF4"	"CD4+ T cells"	0.00260642919200695	0	0	0.0118967568191626	-0.35500461411211	0.35500461411211	-0.938285084048448	NA	0.0310625260354477	NA	">0.01"
"GNG11"	"CD4+ T cells"	0.00260642919200695	0	0	0.00785310354007037	-0.354659209164149	0.354659209164149	-0.672058205598199	NA	0.101558681108947	NA	">0.01"
"SDPR"	"CD4+ T cells"	0.00868809730668984	0.01	1	0.0389933916072719	-0.354746992393429	0.354746992393429	-0.544237213638583	NA	1	NA	">0.01"
"CLU"	"CD4+ T cells"	0.0104257167680278	0.01	1	0.0383036551722942	-0.354506475225196	0.354506475225196	-0.51679041970132	NA	1	NA	">0.01"
"PPBP"	"CD4+ T cells"	0.0139009556907037	0.01	1	0.0583526116137486	-0.354279718391967	0.354279718391967	-1.63043067122067	NA	0.712782105896559	NA	">0.01"
"LDHB"	"CD14+ Monocytes"	0.421711899791232	0.42	42	2.57203739886009	-0.518138286023654	0.518138286023654	-1.06091203388386	-1.06	5.54306122128104e-65	"5.5e-65"	"<1e-50"
"CD3D"	"CD14+ Monocytes"	0.0960334029227557	0.1	10	0.465864744472047	-0.515512609135397	0.515512609135397	-1.80460077567775	NA	3.39601360147254e-88	NA	"<1e-50"
"CD3E"	"CD14+ Monocytes"	0.0939457202505219	0.09	9	0.431633113025736	-0.748801825936937	0.748801825936937	-1.5090078382738	NA	6.37294867702243e-75	NA	"<1e-50"
"IL7R"	"CD14+ Monocytes"	0.118997912317328	0.12	12	0.501536513666953	-0.584269665843395	0.584269665843395	-1.32005089083894	-1.32	4.4927467690822e-45	"4.5e-45"	"<1e-10"
"MAL"	"CD14+ Monocytes"	0.022964509394572	0.02	2	0.0773187737203778	-0.401854153345122	0.401854153345122	-0.619557071215907	NA	1.95692362442129e-11	NA	"<1e-10"
"S100A9"	"CD14+ Monocytes"	0.995824634655532	1	100	135.151751785632	2.45294305528605	2.45294305528605	3.83095426876757	3.83	0	"0"	"<1e-100"
"S100A8"	"CD14+ Monocytes"	0.97286012526096	0.97	97	78.6266726148216	2.46767680881963	2.46767680881963	3.7869631776342	3.79	0	"0"	"<1e-100"
"LGALS2"	"CD14+ Monocytes"	0.908141962421712	0.91	91	18.0441353661977	2.23022428730739	2.23022428730739	2.63905600615021	2.64	0	"0"	"<1e-100"
"FCN1"	"CD14+ Monocytes"	0.954070981210856	0.95	95	25.9333738910847	2.15580476920023	2.15580476920023	2.3672324474667	2.37	0	"0"	"<1e-100"
"LYZ"	"CD14+ Monocytes"	1	1	100	182.434488207942	1.9492678289878	1.9492678289878	3.12090432259423	3.12	3.08734610165302e-261	"3.1e-261"	"<1e-100"
"CD79A"	"CD14+ Monocytes"	0.0354906054279749	0.04	4	0.169686551358766	-0.36180795294947	0.36180795294947	-1.4020765826478	NA	9.87135383291747e-13	NA	"<1e-10"
"MS4A1"	"CD14+ Monocytes"	0.0542797494780793	0.05	5	0.209353272740668	-0.367858246821663	0.367858246821663	-0.926453480634844	NA	9.56187979745439e-09	NA	"<0.01"
"CD79B"	"CD14+ Monocytes"	0.0835073068893528	0.08	8	0.362488516886868	-0.454701402189258	0.454701402189258	-1.22732099198953	NA	2.74089607019676e-17	NA	"<1e-10"
"TCL1A"	"CD14+ Monocytes"	0.0187891440501044	0.02	2	0.122025598954447	-0.379526869909624	0.379526869909624	-1.01472018704067	NA	4.44457397924311e-07	NA	"<0.01"
"HLA-DQB1"	"CD14+ Monocytes"	0.308977035490605	0.31	31	1.63607673629921	-0.407090413483851	0.407090413483851	-0.426879578276357	NA	1	NA	">0.01"
"CCL5"	"CD14+ Monocytes"	0.152400835073069	0.15	15	0.752334201856849	-0.682126544178958	0.682126544178958	-2.04227564306309	-2.04	1.01307994963874e-18	"1,00E-18"	"<1e-10"
"NKG7"	"CD14+ Monocytes"	0.192066805845511	0.19	19	1.03134192920051	-0.478351940719515	0.478351940719515	-2.13630227373572	-2.14	9.99909929205092e-09	"1,00E-08"	"<0.01"
"GZMK"	"CD14+ Monocytes"	0.0187891440501044	0.02	2	0.0920194645558188	-0.437473658077573	0.437473658077573	-1.0368336620865	NA	4.38597353461167e-09	NA	"<0.01"
"CST7"	"CD14+ Monocytes"	0.0313152400835073	0.03	3	0.118367206413461	-0.509591904627177	0.509591904627177	-1.43377254905696	NA	1.62940825636558e-20	NA	"<1e-10"
"GZMH"	"CD14+ Monocytes"	0.0271398747390397	0.03	3	0.10762454210397	-0.533436587039722	0.533436587039722	-1.06524429746264	NA	2.12067260957023e-05	NA	"<0.01"
"FCGR3A"	"CD14+ Monocytes"	0.133611691022964	0.13	13	0.75876333086887	-0.518428658310505	0.518428658310505	-0.817494307314241	NA	0.911389299844031	NA	">0.01"
"IFITM3"	"CD14+ Monocytes"	0.626304801670146	0.63	63	7.79072414097412	0.578304062075499	0.578304062075499	1.18742669053659	1.19	3.62084603041119e-115	"3.6e-115"	"<1e-100"
"LST1"	"CD14+ Monocytes"	0.958246346555324	0.96	96	21.9248384567319	0.609610486450155	0.609610486450155	1.40136657093497	1.4	5.52524215686189e-224	"5.5e-224"	"<1e-100"
"FCER1G"	"CD14+ Monocytes"	0.939457202505219	0.94	94	18.8532556915568	0.524202683273049	0.524202683273049	1.25671005976993	1.26	3.90400515571068e-189	"3.9e-189"	"<1e-100"
"AIF1"	"CD14+ Monocytes"	0.95615866388309	0.96	96	25.1323988367401	0.942990896179601	0.942990896179601	1.59540020841327	1.6	3.33285660404322e-223	"3.3e-223"	"<1e-100"
"GZMB"	"CD14+ Monocytes"	0.0417536534446764	0.04	4	0.199334742998572	-0.454735428383353	0.454735428383353	-1.51287089951956	NA	1.53037265190366e-05	NA	"<0.01"
"FGFBP2"	"CD14+ Monocytes"	0.0292275574112735	0.03	3	0.0919175836817725	-0.419301847436712	0.419301847436712	-1.16970402279498	NA	1.76419798621538e-06	NA	"<0.01"
"PRF1"	"CD14+ Monocytes"	0.0354906054279749	0.04	4	0.14556614737874	-0.43483448557693	0.43483448557693	-1.2025514551652	NA	2.83339831296963e-12	NA	"<1e-10"
"GNLY"	"CD14+ Monocytes"	0.125260960334029	0.13	13	0.710515534173652	-0.379647083831241	0.379647083831241	-1.83580141113178	NA	0.846558084916754	NA	">0.01"
"FCER1A"	"CD14+ Monocytes"	0.0146137787056367	0.01	1	0.111047407468344	-0.342036998132098	0.342036998132098	-0.143578431581214	NA	1	NA	">0.01"
"CLEC10A"	"CD14+ Monocytes"	0.0751565762004175	0.08	8	0.351089779092264	-0.201382886450516	0.201382886450516	0.216625375211413	NA	2.94783807765905e-12	NA	"<1e-10"
"HLA-DQA1"	"CD14+ Monocytes"	0.221294363256785	0.22	22	1.69250214808684	-0.430619476580719	0.430619476580719	-0.437109405495419	NA	1	NA	">0.01"
"HLA-DPA1"	"CD14+ Monocytes"	0.764091858037578	0.76	76	14.9762337086784	-0.0975500283114393	0.0975500283114393	0.519939931972051	0.52	9.61957231127189e-36	"9.6e-36"	"<1e-10"
"HLA-DPB1"	"CD14+ Monocytes"	0.759916492693111	0.76	76	15.7768792284781	-0.166105353237146	0.166105353237146	0.398080672528161	0.4	3.84995856072058e-30	"3.8e-30"	"<1e-10"
"PF4"	"CD14+ Monocytes"	0.0146137787056367	0.01	1	0.0944563689217728	-0.353534887125745	0.353534887125745	-0.641020184332718	NA	1	NA	">0.01"
"GNG11"	"CD14+ Monocytes"	0.0167014613778706	0.02	2	0.094406398105718	-0.352125827435074	0.352125827435074	-0.412883135168813	NA	1	NA	">0.01"
"SDPR"	"CD14+ Monocytes"	0.0125260960334029	0.01	1	0.0517199702408957	-0.35427925041607	0.35427925041607	-0.390250598032638	NA	1	NA	">0.01"
"CLU"	"CD14+ Monocytes"	0.0146137787056367	0.01	1	0.0644769778543772	-0.353468430856213	0.353468430856213	-0.353841124096518	NA	1	NA	">0.01"
"PPBP"	"CD14+ Monocytes"	0.0542797494780793	0.05	5	0.340167853174503	-0.352476737865878	0.352476737865878	-1.09071773211499	NA	1	NA	">0.01"
"LDHB"	"B cells"	0.409356725146199	0.41	41	2.87515835475652	-0.444314570459335	0.444314570459335	-0.935101676774354	-0.94	8.53548949384571e-34	"8.5e-34"	"<1e-10"
"CD3D"	"B cells"	0.0584795321637427	0.06	6	0.332953491617978	-0.539283934137786	0.539283934137786	-1.85084856790175	NA	6.40468001221427e-64	NA	"<1e-50"
"CD3E"	"B cells"	0.108187134502924	0.11	11	0.563001913570635	-0.706374143367059	0.706374143367059	-1.37045154464427	-1.37	1.82823925711606e-45	"1.8e-45"	"<1e-10"
"IL7R"	"B cells"	0.114035087719298	0.11	11	0.68290391680871	-0.514659544608651	0.514659544608651	-1.1562654187603	-1.16	2.46544190020209e-27	"2.5e-27"	"<1e-10"
"MAL"	"B cells"	0.0263157894736842	0.03	3	0.114002550388642	-0.339705386560722	0.339705386560722	-0.555319024688196	NA	5.30113146831373e-06	NA	"<0.01"
"S100A9"	"B cells"	0.137426900584795	0.14	14	0.903119057501803	-0.445385895534607	0.445385895534607	-2.78719032284502	-2.79	4.61069561054618e-18	"4.6e-18"	"<1e-10"
"S100A8"	"B cells"	0.0789473684210526	0.08	8	0.434138030480626	-0.410172404182479	0.410172404182479	-2.53509321627297	NA	1.01211850553211e-15	NA	"<1e-10"
"LGALS2"	"B cells"	0.0292397660818713	0.03	3	0.161012996294447	-0.543415160137121	0.543415160137121	-1.47587054598553	NA	2.74327086375451e-15	NA	"<1e-10"
"FCN1"	"B cells"	0.087719298245614	0.09	9	0.5956566397438	-0.558856136296553	0.558856136296553	-1.58109634660048	NA	3.99044944609487e-17	NA	"<1e-10"
"LYZ"	"B cells"	0.429824561403509	0.43	43	3.69964898464261	-0.602254702314549	0.602254702314549	-2.26313332708658	-2.26	1.99141420093236e-14	"2,00E-14"	"<1e-10"
"CD79A"	"B cells"	0.935672514619883	0.94	94	22.5847923098686	2.47396670488141	2.47396670488141	2.97785187432574	2.98	0	"0"	"<1e-100"
"MS4A1"	"B cells"	0.859649122807018	0.86	86	11.7258742504679	2.47426438700264	2.47426438700264	2.3376466321582	2.34	0	"0"	"<1e-100"
"CD79B"	"B cells"	0.915204678362573	0.92	92	18.4302524278275	2.43932720176351	2.43932720176351	2.40064361042925	2.4	1.61517696810204e-267	"1.6e-267"	"<1e-100"
"TCL1A"	"B cells"	0.62280701754386	0.62	62	12.5429166106943	2.46624964565431	2.46624964565431	2.48601865742563	2.49	1.44774781873148e-265	"1.4e-265"	"<1e-100"
"HLA-DQB1"	"B cells"	0.868421052631579	0.87	87	15.3055866893678	1.40236949390303	1.40236949390303	2.13928014593364	2.14	1.7658896922791e-227	"1.8e-227"	"<1e-100"
"CCL5"	"B cells"	0.140350877192982	0.14	14	0.885323881961418	-0.677697643248966	0.677697643248966	-1.91425186727529	-1.91	5.19993113351459e-12	"5.2e-12"	"<1e-10"
"NKG7"	"B cells"	0.0818713450292398	0.08	8	0.541455320494394	-0.489598108142258	0.489598108142258	-2.36268188244876	NA	9.64028099723278e-18	NA	"<1e-10"
"GZMK"	"B cells"	0.0321637426900585	0.03	3	0.216034145490405	-0.405071406847623	0.405071406847623	-0.883736716331179	NA	0.00370318601933858	NA	"<0.01"
"CST7"	"B cells"	0.0380116959064327	0.04	4	0.233991043730082	-0.496558737915682	0.496558737915682	-1.28502662211917	NA	1.53743124518887e-11	NA	"<1e-10"
"GZMH"	"B cells"	0.0146198830409357	0.01	1	0.111901624045366	-0.53250683318456	0.53250683318456	-1.02129435378843	NA	0.000202459739835887	NA	"<0.01"
"FCGR3A"	"B cells"	0.0380116959064327	0.04	4	0.200668896675208	-0.587499829441085	0.587499829441085	-1.18669520945995	NA	2.39335934643629e-10	NA	"<0.01"
"IFITM3"	"B cells"	0.0380116959064327	0.04	4	0.221628399478085	-0.669785079735766	0.669785079735766	-1.22850236719869	NA	5.16579562572471e-15	NA	"<1e-10"
"LST1"	"B cells"	0.140350877192982	0.14	14	0.915195510372274	-0.569319944910084	0.569319944910084	-1.63317499935246	-1.63	2.55136253256114e-18	"2.6e-18"	"<1e-10"
"FCER1G"	"B cells"	0.0760233918128655	0.08	8	0.420836798541001	-0.833661440663015	0.833661440663015	-1.8726315704661	NA	3.03546174347506e-29	NA	"<1e-10"
"AIF1"	"B cells"	0.087719298245614	0.09	9	0.611381273170523	-0.640578476902578	0.640578476902578	-1.84489513454615	NA	5.44295917149511e-29	NA	"<1e-10"
"GZMB"	"B cells"	0.0204678362573099	0.02	2	0.123830207292965	-0.459162241460537	0.459162241460537	-1.53241694606364	NA	1.05490203462355e-05	NA	"<0.01"
"FGFBP2"	"B cells"	0.0321637426900585	0.03	3	0.141205709587207	-0.413656628730571	0.413656628730571	-1.08136010599052	NA	0.00610707551343578	NA	"<0.01"
"PRF1"	"B cells"	0.0321637426900585	0.03	3	0.163950032195195	-0.432841600310297	0.432841600310297	-1.14324220191933	NA	9.04557095659291e-08	NA	"<0.01"
"GNLY"	"B cells"	0.0789473684210526	0.08	8	0.463190804104724	-0.385986275841595	0.385986275841595	-1.94413246175922	NA	0.000948314564243758	NA	"<0.01"
"FCER1A"	"B cells"	0.00292397660818713	0	0	0.00924139256696313	-0.360872929550934	0.360872929550934	-0.243518066929479	NA	1	NA	">0.01"
"CLEC10A"	"B cells"	0	0	0	0	-0.378818293771379	0.378818293771379	-0.14491256304925	NA	1	NA	">0.01"
"HLA-DQA1"	"B cells"	0.894736842105263	0.89	89	15.7101113261246	1.14863562840864	1.14863562840864	2.12660668704968	2.13	1.87542330898329e-264	"1.9e-264"	"<1e-100"
"HLA-DPA1"	"B cells"	0.97953216374269	0.98	98	29.8059504913805	0.599233341785907	0.599233341785907	1.3895679381374	1.39	3.00485445164347e-139	"3,00E-139"	"<1e-100"
"HLA-DPB1"	"B cells"	0.988304093567251	0.99	99	40.0543191400697	0.717050725731494	0.717050725731494	1.63795952779025	1.64	4.57981775402104e-163	"4.6e-163"	"<1e-100"
"PF4"	"B cells"	0.0146198830409357	0.01	1	0.0596201898241386	-0.354155041111667	0.354155041111667	-0.647289711203466	NA	1	NA	">0.01"
"GNG11"	"B cells"	0.00292397660818713	0	0	0.0166608353742857	-0.354401410232111	0.354401410232111	-0.473302643657618	NA	1	NA	">0.01"
"SDPR"	"B cells"	0	0	0	0	-0.35618012274365	0.35618012274365	-0.426252385948699	NA	1	NA	">0.01"
"CLU"	"B cells"	0.00292397660818713	0	0	0.00941093211518228	-0.355652372092716	0.355652372092716	-0.39450759836873	NA	1	NA	">0.01"
"PPBP"	"B cells"	0.0146198830409357	0.01	1	0.0988601413901233	-0.354020561765298	0.354020561765298	-1.25815022826309	NA	1	NA	">0.01"
"LDHB"	"CD8 T cells"	0.707792207792208	0.71	71	7.32748578146119	0.640029309943883	0.640029309943883	-0.0991858932610206	NA	1	NA	">0.01"
"CD3D"	"CD8 T cells"	0.899350649350649	0.9	90	13.7198244457373	1.85497278515449	1.85497278515449	0.800522669347472	0.8	4.04100811724067e-54	"4,00E-54"	"<1e-50"
"CD3E"	"CD8 T cells"	0.730519480519481	0.73	73	7.41734852906857	1.50734815005431	1.50734815005431	0.485358304555852	0.49	1.5123452382385e-16	"1.5e-16"	"<1e-10"
"IL7R"	"CD8 T cells"	0.477272727272727	0.48	48	5.68144764596997	1.40381769527402	1.40381769527402	0.36589239229411	NA	0.129286418320349	NA	">0.01"
"MAL"	"CD8 T cells"	0.0422077922077922	0.04	4	0.208191503658939	-0.180132741045008	0.180132741045008	-0.461441337187933	NA	0.00713288304563595	NA	"<0.01"
"S100A9"	"CD8 T cells"	0.168831168831169	0.17	17	0.902043955823467	-0.445409106186783	0.445409106186783	-2.7739719633876	-2.77	8.88280525302346e-13	"8.9e-13"	"<1e-10"
"S100A8"	"CD8 T cells"	0.0487012987012987	0.05	5	0.210907572370644	-0.418388324047527	0.418388324047527	-2.69241178790318	NA	3.33350188356123e-18	NA	"<1e-10"
"LGALS2"	"CD8 T cells"	0.025974025974026	0.03	3	0.0987484895799116	-0.553072270815386	0.553072270815386	-1.52130859061651	NA	6.23543885006397e-14	NA	"<1e-10"
"FCN1"	"CD8 T cells"	0.0779220779220779	0.08	8	0.434839936393516	-0.576085897494271	0.576085897494271	-1.67844017917037	NA	1.5043428601445e-16	NA	"<1e-10"
"LYZ"	"CD8 T cells"	0.441558441558442	0.44	44	2.85379277271006	-0.614329691121245	0.614329691121245	-2.45090735947816	-2.45	9.32101023492546e-15	"9.3e-15"	"<1e-10"
"CD79A"	"CD8 T cells"	0.0194805194805195	0.02	2	0.135485971857392	-0.366134728726395	0.366134728726395	-1.37583816233113	NA	1.27983843392489e-08	NA	"<0.01"
"MS4A1"	"CD8 T cells"	0.051948051948052	0.05	5	0.28302563709909	-0.349676897207889	0.349676897207889	-0.818632280288829	NA	0.000404068522851558	NA	"<0.01"
"CD79B"	"CD8 T cells"	0.123376623376623	0.12	12	0.710954736552239	-0.398885352555567	0.398885352555567	-0.935800898124703	-0.94	0.000432005070041645	"0.00043"	"<0.01"
"TCL1A"	"CD8 T cells"	0.012987012987013	0.01	1	0.10179368049334	-0.384162247385121	0.384162247385121	-0.985906339642539	NA	0.000739082918452293	NA	"<0.01"
"HLA-DQB1"	"CD8 T cells"	0.11038961038961	0.11	11	0.547047249944197	-0.551247387675831	0.551247387675831	-0.969907715014769	-0.97	2.04469369591575e-05	"2,00E-05"	"<0.01"
"CCL5"	"CD8 T cells"	0.974025974025974	0.97	97	50.9931700730608	0.991023466698782	0.991023466698782	2.15881226209058	2.16	1.10120194020871e-202	"1.1e-202"	"<1e-100"
"NKG7"	"CD8 T cells"	0.954545454545455	0.95	95	47.3020437557376	0.583869500449184	0.583869500449184	1.57772079035087	1.58	4.32886911464812e-178	"4.3e-178"	"<1e-100"
"GZMK"	"CD8 T cells"	0.587662337662338	0.59	59	11.1664673509463	2.45603088463941	2.45603088463941	2.11342752054138	2.11	1.53452718261859e-177	"1.5e-177"	"<1e-100"
"CST7"	"CD8 T cells"	0.772727272727273	0.77	77	11.4564838657006	0.768445289469844	0.768445289469844	1.44723375665481	1.45	2.88504084063378e-162	"2.9e-162"	"<1e-100"
"GZMH"	"CD8 T cells"	0.402597402597403	0.4	40	9.99958653755101	1.61688223462523	1.61688223462523	1.83730334910094	1.84	1.17190695256006e-80	"1.2e-80"	"<1e-50"
"FCGR3A"	"CD8 T cells"	0.24025974025974	0.24	24	2.0232338261818	-0.361934608880474	0.361934608880474	-0.189186419409829	NA	1	NA	">0.01"
"IFITM3"	"CD8 T cells"	0.0584415584415584	0.06	6	0.297998168403564	-0.657192257209295	0.657192257209295	-1.15504231489145	NA	2.44798483106785e-10	NA	"<0.01"
"LST1"	"CD8 T cells"	0.133116883116883	0.13	13	0.754184211614238	-0.578354897116712	0.578354897116712	-1.71137291199523	-1.71	1.52745924968984e-17	"1.5e-17"	"<1e-10"
"FCER1G"	"CD8 T cells"	0.11038961038961	0.11	11	0.73562963019101	-0.810471543826862	0.810471543826862	-1.65551258759608	-1.66	1.36904591559112e-20	"1.4e-20"	"<1e-10"
"AIF1"	"CD8 T cells"	0.113636363636364	0.11	11	0.624485514197431	-0.639732203916806	0.639732203916806	-1.82426151544331	-1.82	1.86790253166001e-22	"1.9e-22"	"<1e-10"
"GZMB"	"CD8 T cells"	0.288961038961039	0.29	29	4.59249763863503	-0.197165326470125	0.197165326470125	0.205775980326244	0.21	2.07303504359922e-16	"2.1e-16"	"<1e-10"
"FGFBP2"	"CD8 T cells"	0.308441558441558	0.31	31	4.41354906851835	0.0756764957458356	0.0756764957458356	0.670833456669276	0.67	1.36541955456967e-27	"1.4e-27"	"<1e-10"
"PRF1"	"CD8 T cells"	0.49025974025974	0.49	49	4.85296287954425	0.0754657956416359	0.0754657956416359	0.669973443247029	0.67	3.20245961553347e-59	"3.2e-59"	"<1e-50"
"GNLY"	"CD8 T cells"	0.308441558441558	0.31	31	9.32638946404972	-0.158813206186793	0.158813206186793	0.145881564849635	0.15	8.8079980585737e-07	"8.8e-07"	"<0.01"
"FCER1A"	"CD8 T cells"	0.012987012987013	0.01	1	0.0700298780832703	-0.349625973805252	0.349625973805252	-0.175591019615787	NA	1	NA	">0.01"
"CLEC10A"	"CD8 T cells"	0	0	0	0	-0.378818293771379	0.378818293771379	-0.142942094910726	NA	1	NA	">0.01"
"HLA-DQA1"	"CD8 T cells"	0.107142857142857	0.11	11	0.698002640279909	-0.542662008560723	0.542662008560723	-0.903660994436192	-0.9	0.00126591118476773	"0.0013"	"<0.01"
"HLA-DPA1"	"CD8 T cells"	0.412337662337662	0.41	41	3.18492501927262	-0.651571924133862	0.651571924133862	-1.01370930160367	-1.01	6.97027652490806e-05	"7,00E-05"	"<0.01"
"HLA-DPB1"	"CD8 T cells"	0.49025974025974	0.49	49	4.91057082472167	-0.561396057597762	0.561396057597762	-0.796497561706867	NA	1	NA	">0.01"
